timestamp,"rule.level","rule.description","full_log"
"Apr 4, 2020 @ 13:47:12.348",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BcastDVRUserService_29d4d' was added.
"
"Apr 4, 2020 @ 13:47:12.334",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BcastDVRUserService_29d4d\Security' was added.
"
"Apr 4, 2020 @ 13:47:12.051",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-90-0-1' checksum changed.
Old md5sum was: '0fbd85d390c648f73d243e459fc4c439'
New md5sum is : '6f34b4bb3938c2ff6084d0e75b760f95'
Old sha1sum was: '4cfcff84f3698f6a858f7a5799d31fc7d81426df'
New sha1sum is : 'dfbd33c8174b1de1278046c9f798a3f5ae1bb7f9'
"
"Apr 4, 2020 @ 13:47:12.031",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-438079597-2123118846-2669748851-1001' checksum changed.
Old md5sum was: 'd27ed1a432d89e8be52f17c1744a38bc'
New md5sum is : 'fb459385be06365d0ed41734e9b9fe7d'
Old sha1sum was: 'f5193efad00e671e9802d94baecb86989890a7f3'
New sha1sum is : '68b8a07ed62540dbd0dbecfd90235f9da9159a35'
"
"Apr 4, 2020 @ 13:47:11.989",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-18' checksum changed.
Old md5sum was: '96524085ad01638d29a94ea6811680f0'
New md5sum is : '2ffb7d4daf513b355e485a82a1be52f5'
Old sha1sum was: 'd60d212b81c6fa16646c5fc9724e1eb7edba2639'
New sha1sum is : '45208235c4ca115bed4ae945dc532b5ccfbcafd1'
"
"Apr 4, 2020 @ 13:47:09.348",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\AarSvc_29d4d' was added.
"
"Apr 4, 2020 @ 13:47:09.333",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\AarSvc_29d4d\Security' was added.
"
"Apr 4, 2020 @ 13:47:02.473",3,"Windows Logon Success",
"Apr 4, 2020 @ 13:46:26.083",3,"Windows User Logoff",
"Apr 4, 2020 @ 13:46:26.067",3,"Windows User Logoff",
"Apr 4, 2020 @ 13:46:26.022",3,"Windows Workstation Logon Success",
"Apr 4, 2020 @ 13:46:25.990",3,"Windows Workstation Logon Success",
"Apr 4, 2020 @ 13:46:24.781",3,"Software Protection service scheduled successfully",
"Apr 4, 2020 @ 13:45:56.068",3,"Windows Logon Success",
"Apr 4, 2020 @ 13:45:56.037",5,"License Activation (slui.exe) failed",
"Apr 4, 2020 @ 13:45:53.396",5,"License Activation (slui.exe) failed",
"Apr 4, 2020 @ 13:45:39.458",3,"The Windows Search Service started",
"Apr 4, 2020 @ 13:45:39.443",3,"The database engine attached a database",
"Apr 4, 2020 @ 13:45:39.297",3,"The database engine has completed recovery steps",
"Apr 4, 2020 @ 13:45:39.147",3,"The database engine is replaying log file C:\Winnt\system32\wins\j50.log",
"Apr 4, 2020 @ 13:45:39.127",9,"Windows Application error event",
"Apr 4, 2020 @ 13:45:39.085",9,"Windows Application error event",
"Apr 4, 2020 @ 13:45:39.045",9,"Windows Application error event",
